GUCI;TitleVONDELHABAND_-NAT00Z04Y2N;Halsbandparkieten in het voorjaar in het Vondelpark
577A_1_BNTSPE-NAT00Z013O9;Grote bonte spechten
748A_1_GAAITA-NAT00Z01N8S;Gaaien zitten op een tak
EP06171_1_GAN-NAT00Z01NHL;Grauwe ganzen in natuurgebied Waal en Burg
EP06170_2_GRU-NAT00Z01N7N;Rosse grutto
0000GRZAAGBEK-NAT00Z03NQ5;Grote zaagbek duikend
0003KOPERWIEK-NAT00Z03O0U;Spittende koperwiek
0000MORINELPL-NAT00Z03NS2;Volwassen morinelplevieren op akker
0000SPRINKHZA-NAT00Z03NTJ;Zingende sprinkhaanzanger
6013_2_VOORNE-NAT00Z04XR4;Grauwe ganzen in een duinmeertje in Voornes Duin
527A_6_KOLGRE-NAT00Z013I2;Kolganzen en reeën
EP06105_1_KRA-NAT00Z01NBW;Zwarte kraai in weiland
EF07021_1_KLA-NAT00Z01NUU;Daurische klauwier
0001KUIFDUIKE-NAT00Z03NWU;Zwemmende kuifduiker in winterkleed
0002WULP00000-NAT00Z03O08;Wulpen in de sneeuw
488A_2_HUISMU-NAT00Z013NH;Huismussen in struik
0001RINGMUS00-NAT00Z03NXE;Ringmus op feeders
VONDELORAOOIV-NAT00Z04Y33;Reigers tijdens Koningsdag in het Vondelpark
562A_1_BLAREI-NAT00Z013K3;Blauwe reigers in veld met paardenbloemen
910405_2_PIMP-NAT00Z02H7R;Pimpelmees in bos en op voederplaats
3006_2_GRENSM-NAT00Z02H61;Stroomversnellingen in de Grensmaas bij Mees
0000BRANDGANS-NAT00Z03NON;Brandgans
VONDELOOIVAAR-NAT00Z04Y30;Ooievaar in het Vondelpark
675A_5_KRUISB-NAT00Z01NC2;Kruisbekken in grove den en lariks
EP06003_1_BRG-NAT00Z01NLV;Jonge bergeend zoekt voedsel in ondiep water
010101_1_PEVO-NAT00Z02GZY;Pestvogel invasie in  Amstelveen
0001DWERGGANS-NAT00Z03NVN;Dwerggans
